"","GEOID","NAME","TotPop","White","Black","AI","Asian","Pac_il","Other_Race","Multi_Race","MedInc","Pop25","HS","GED","Assoc","Bach","Mast","ProfDeg","Doct","TotalHouse","Occupied","Vacant","TotalOcc","Own","Rent"
"68","42101024300","Census Tract 243, Philadelphia County, Pennsylvania",4470,542,3720,0,90,0,0,118,45154,3122,671,37,321,644,405,49,66,2049,1880,169,1880,915,965
"69","42101024900","Census Tract 249, Philadelphia County, Pennsylvania",2626,65,2492,0,0,0,0,69,26069,1612,440,138,136,184,46,0,0,1372,1075,297,1075,623,452
"70","42101036700","Census Tract 367, Philadelphia County, Pennsylvania",3405,2614,244,0,337,0,74,136,150952,2702,128,72,58,1220,603,217,145,1782,1576,206,1576,811,765
"71","42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania",5535,3632,386,0,1148,0,119,250,71409,4309,551,92,96,1649,714,157,54,2505,2338,167,2338,1388,950
"72","42101004001","Census Tract 40.01, Philadelphia County, Pennsylvania",4111,2952,90,0,266,0,478,325,67841,3479,714,111,287,709,232,183,38,2124,1929,195,1929,1014,915
"73","42101000300","Census Tract 3, Philadelphia County, Pennsylvania",3566,2269,218,3,615,0,56,405,86782,2846,136,0,57,948,456,599,334,2336,2085,251,2085,426,1659
"74","42101016300","Census Tract 163, Philadelphia County, Pennsylvania",2761,476,337,0,33,0,1775,140,27625,1664,471,129,71,88,12,0,0,1192,936,256,936,340,596
"75","42101980600","Census Tract 9806, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania",2073,1452,273,0,262,0,39,47,49276,1788,61,21,70,728,415,234,112,1783,1571,212,1571,132,1439
"77","42101035701","Census Tract 357.01, Philadelphia County, Pennsylvania",4641,2682,211,0,1341,16,134,257,45571,3505,728,116,319,1223,185,16,44,1964,1885,79,1885,544,1341
"78","42101036100","Census Tract 361, Philadelphia County, Pennsylvania",4065,2556,1230,0,138,0,79,62,64688,2864,1179,105,350,305,129,22,0,1677,1536,141,1536,839,697
